 ['Brandon Gear', '410', '18.61'],
 ['Matthew O&#x27;Konski', '410', '18.61'],
 ['Oscar Rechtin', '412', '18.63'],
 ['Jonas Dark', '413', '18.68'],
 ['Noah Raszczyk', '414', '18.69'],
 ['Cash Walz', '415', '18.70'],
 ['Gabriel Tortola', '416', '18.73'],
 ['Andrew Xie', '417', '18.74'],
 ['Oğuz Budak', '418', '18.79'],
 ['Hudson Evans', '419', '18.81'],
 ['Tyson Huynh', '419', '18.81'],
 ['Vasya Manolov', '421', '18.83'],
 ['Ivan Petricevic', '422', '18.85'],
 ['liquor Andoko', '422', '18.85'],
 ['Gip Crye', '424', '18.89'],
 ['Braynsly Dirksz', '424', '18.89'],
 ['Victor Hugo Cury', '426', '18.97'],
 ['Jack Troy', '427', '19.00'],
 ['Micah Moore', '428', '19.02'],
 ['Misha Kojanov', '428', '19.02'],
 ['Yusuf Balaban', '430', '19.03'],
 ['Richard Púček', '430', '19.03'],
 ['Eric Lambert', '432', '19.06'],
 ['Goran Cindric', '433', '19.07'],
 ['Cameron Petitt', '434', '19.08'],
 ['Ethan Moore', '434', '19.08'],
 ['Sebastian Wrona', '436', '19.09'],
 ['Will D&#x27;Orazio', '437', '19.14'],
 ['Walker Lanoue', '438', '19.15'],
 ['Miles Smyczek', '439', '19.17'],
 ['Bera Kayra Sarikaya', '440', '19.26'],
 ['Evan Tack', '441', '19.29'],
 ['Ryder Hicks', '442', '19.32'],
 ['Quint Erwin', '443', '19.33'],
 ['Logan Calhoun', '444', '19.38'],
 ['Daniel Sovetov', '444', '19.38'],
 ['Cristopher Strydom', '446', '19.39'],
 ['Kaden Fatta', '447', '19.40'],
 ['Blaise Hofmann', '448', '19.41'],
 ['Jack Mainville', '449', '19.42'],
 ['Tristan Bonnet-Eymard', '449', '19.42'],
 ['Alfredo Dominguez', '451', '19.47'],
 ['Richard Reich', '451', '19.47'],
 ['Hugh Boris', '453', '19.48'],
 ['Josh Inglis', '453', '19.48'],
 ['Giulio Migliarina', '453', '19.48'],
 ['Efe İnceoğlu', '453', '19.48'],
 ['Nathan Moss', '457', '19.49'],
 ['Ethan Zhou', '458', '19.52'],
 ['Henrique Labriola', '459', '19.53'],
 ['Tre Cottrell', '460', '19.55'],
 ['Ian Noffsinger', '461', '19.56'],
 ['Willyan Matana', '462', '19.60'],
 ['Marko Krtinic', '463', '19.63'],
 ['Aidan Levine', '464', '19.68'],
 ['Mehmet Alp Hacioglu', '464', '19.68'],
 ['Mohannad Yasser', '466', '19.70'],
 ['Cole Stevenson', '467', '19.78'],
 ['Caleb Rohacs', '468', '19.80'],
 ['Eldad Zamir', '469', '19.83'],
 ['Toby Herzog', '470', '19.85'],
 ['Sawyer Tapp', '471', '19.86'],
 ['Owen Tharrington', '472', '19.97'],
 ['Cameron Frazier', '472', '19.97'],
 ['Trey Clervi', '474', '19.98'],
 ['Lucas Saldo', '474', '19.98'],
 ['Cash Strickland', '476', '20.00'],
 ['Brock Russell', '477', '20.07'],
 ['Danzhel Gabriel Tuliao', '477', '20.07'],
 ['Drew Davis', '479', '20.08'],
 ['Phin Theall', '480', '20.09'],
 ['Edward Kim', '481', '20.12'],
 ['Trevan Valena', '481', '20.12'],
 ['Luke Pugh', '481', '20.12'],
 ['Bence Burton', '481', '20.12'],
 ['William Morin', '485', '20.13'],
 ['Jacek Zalewski', '486', '20.15'],
 ['Brayden Franklin', '487', '20.16'],
 ['Bexon Harrison', '487', '20.16'],
 ['Oliver Stull', '489', '20.21'],
 ['Rory Connelly', '490', '20.23'],
 ['Tarkan Yaman', '491', '20.25'],
 ['Kai Henrikson-Brandt', '492', '20.34'],
 ['Isaih Francis', '492', '20.34'],
 ['Emil Wannem', '492', '20.34'],
 ['Matthew Doty', '495', '20.36'],
 ['Brandon Adkins', '496', '20.42'],
 ['Patrick MacKillop', '497', '20.43'],
 ['David Melnychuk', '498', '20.45'],
 ['Chase Garcia', '498', '20.45'],
 ['Chip Andrews', '498', '20.45'],
 ['Sami Danailov', '498', '20.45'],
 ['Cameron Bucci', '502', '20.46'],
 ['Broder Swenson', '503', '20.48'],
 ['Zach Mendez', '503', '20.48'],
 ['Francesco Vangi', '505', '20.50'],
 ['Daniel Benson', '506', '20.52'],
 ['Ben Callan', '507', '20.53'],
 ['Cody Miles', '507', '20.53'],
 ['Mehmet Caglar', '509', '20.56'],
 ['Max Kunisaki', '510', '20.58'],
 ['Parker Chan', '511', '20.62'],
 ['Zed Warain', '512', '20.64'],
 ['Andrejs Brooks', '513', '20.65'],
 ['Alex Luebke', '514', '20.66'],
 ['Duncan Salmen', '515', '20.71'],
 ['Ethan Fang', '516', '20.72'],
 ['James Story', '517', '20.79'],
 ['Jayson Ross', '518', '20.80'],
 ['Emre Sungur', '518', '20.80'],
 ['Yusuf Arda Thekerci', '520', '20.82'],
 ['Kurt Owens', '520', '20.82'],
 ['Keoni Li', '522', '20.84'],
 ['Holden Short', '523', '20.88'],
 ['Natan Silva', '524', '20.89'],
 ['Andrea Meregalli', '524', '20.89'],
 ['Pavel Vorona', '526', '20.90'],
 ['Emanuel Ribeiro', '527', '20.92'],
 ['Sebastian Aguilar', '528', '20.95'],
 ['Ethan Taylor', '529', '20.96'],
 ['Noah Terejko', '530', '20.98'],
 ['Nathan Knobelspiesse', '531', '21.00'],
 ['Povilas Slizius', '532', '21.01'],
 ['Andrew Chen', '533', '21.02'],
 ['Thodoris Apostolidis', '533', '21.02'],
 ['Michael Anderson', '535', '21.03'],
 ['Berk BOZ', '535', '21.03'],
 ['Zakary Guenther', '535', '21.03'],
 ['Nick Cavic', '538', '21.05'],
 ['Jed Johnson', '539', '21.09'],
 ['Jack Gessner', '539', '21.09'],
 ['Luke Watkins', '541', '21.10'],
 ['Evan Ingraham', '541', '21.10'],
 ['Kai Funaro', '543', '21.11'],
 ['Nick Martin', '544', '21.12'],
 ['Caden Oprandy', '545', '21.13'],
 ['Dane Hogan', '546', '21.14'],
 ['Gus Koh', '547', '21.15'],
 ['Arthur Newton', '548', '21.19'],
 ['Kyler Beights', '549', '21.24'],
 ['Derek Feldman', '549', '21.24'],
 ['Jan Matejczuk', '549', '21.24'],
 ['Kenneth Devis', '552', '21.27'],
 ['Tsubasa Rhoe', '553', '21.29'],
 ['Noah Reeves', '554', '21.31'],
 ['michael xu', '554', '21.31'],
 ['Wes Mank', '554', '21.31'],
 ['Rudd Day', '557', '21.34'],
 ['Pierce Bickerton', '557', '21.34'],
 ['Lukas Baeten', '557', '21.34'],
 ['Jack Jenkinson', '560', '21.36'],
 ['Quinn Nelson', '561', '21.37'],
 ['Kaleb James', '562', '21.38'],
 ['Aiden Gerst', '562', '21.38'],
 ['Riqui Iturbe Cosano', '564', '21.42'],
 ['BO Zheng', '565', '21.47'],
 ['Bryce Naquin', '566', '21.51'],
 ['Brandon Cho', '567', '21.52'],
 ['Bronson Smothers', '568', '21.55'],
 ['Josh Carroll', '569', '21.56'],
 ['Collin Huston', '570', '21.57'],
 ['Nash Hale', '570', '21.57'],
 ['Benjamin Robins', '572', '21.58'],
 ['Spencer Ridge', '573', '21.59'],
 ['Aiden Grendysz', '574', '21.67'],
 ['Dimitri Melnikov', '574', '21.67'],
 ['Jason Kellerman', '574', '21.67'],
 ['Jack Paull', '577', '21.70'],
 ['Luka Carapovic', '577', '21.70'],
 ['Ewan Pedersen', '579', '21.71'],
 ['Gavin Abelende', '580', '21.75'],
 ['Kai Batchelor', '580', '21.75'],
 ['Henry Ko', '580', '21.75'],
 ['Carter Gray', '583', '21.77'],
 ['Kelvin Teng', '583', '21.77'],
 ['Adam Lee', '585', '21.78'],
 ['Grayson Doig', '586', '21.81'],
 ['Lewis Esterly', '587', '21.84'],
 ['Ian Sun', '587', '21.84'],
 ['Holden Skidmore', '589', '21.85'],
 ['Grant Regule', '590', '21.88'],
 ['Jason Wang', '591', '21.89'],
 ['Pip Cinpoes', '592', '21.93'],
 ['Jochi Nolla', '593', '21.94'],
 ['Jules Bohnert', '594', '21.97'],
 ['Christian Dantey', '595', '21.99'],
 ['Kevin Kong', '596', '22.01'],
 ['Kurt Morgan', '597', '22.04'],
 ['Oliver Thompson', '598', '22.05'],
 ['Evan Hepburn', '599', '22.06'],
 ['Drake Doyle', '600', '22.11'],
 ['Lloyd Gomez', '601', '22.13'],
 ['omar karim', '602', '22.14'],
 ['Yuto Lee', '603', '22.15'],
 ['Garrett Molitor', '603', '22.15'],
 ['Inald Fernandes Perna', '605', '22.18'],
 ['Aidan Cole', '606', '22.22'],
 ['Kevin Raghunathan', '607', '22.23'],
 ['Leo O&#x27;Keefe', '608', '22.25'],
 ['Eduardo Sanchez', '609', '22.26'],
 ['Jonah Lee', '609', '22.26'],
 ['George Patterson', '611', '22.29'],
 ['Samuel Brozek', '612', '22.30'],
 ['Artjom Alteberg', '613', '22.32'],
 ['Jack Hernandez', '614', '22.37'],
 ['Wiktor Wisniewski', '614', '22.37'],
 ['Alex Aleinikovas', '616', '22.42'],
 ['Cody Crawford', '616', '22.42'],
 ['Karsten Eichler', '618', '22.43'],
 ['Kiefer Roemer', '618', '22.43'],
 ['Blake Wang', '620', '22.45'],
 ['Vincent Kim', '621', '22.46'],
 ['Matt Chen', '621', '22.46'],
 ['Jaydon Croes', '623', '22.47'],
 ['Kyle Dowe', '624', '22.50'],
 ['Batuhan Surmeli', '625', '22.51'],
 ['Ryan Schnur', '625', '22.51'],
 ['Tameem ElHamayda', '625', '22.51'],
 ['Owen Fritts', '628', '22.55'],
 ['Blake Fuchslin', '629', '22.57'],
 ['Phil Lin', '630', '22.63'],
 ['Oliver Valdez', '630', '22.63'],
 ['Mason Ramsower', '632', '22.64'],
 ['Julian Callender', '633', '22.66'],
 ['AJ Adams', '634', '22.68'],
 ['Simeon Prosinski', '635', '22.71'],
 ['Skippy Carlson', '636', '22.73'],
 ['Hudson Bawduniak', '637', '22.74'],
 ['Fergus Thomson', '638', '22.81'],
 ['Ryan Garbalosa', '639', '22.84'],
 ['Kale Lozano', '640', '22.86'],
 ['Alex Thornton', '641', '22.87'],
