 ['Jackson Kees', '223', '31.41'],
 ['Fu Yan Dai', '224', '31.42'],
 ['Santi Leegi', '225', '31.43'],
 ['Sam Petersen', '226', '31.45'],
 ['Alex Daile', '227', '31.47'],
 ['Hudson Roybal', '228', '31.48'],
 ['Trevor Donley', '228', '31.48'],
 ['Maksim Nazarov', '230', '31.52'],
 ['Josh Wilder', '231', '31.56'],
 ['Jayden Kwon', '232', '31.63'],
 ['Lysander Mihaly', '233', '31.65'],
 ['Ben Battaglia', '234', '31.66'],
 ['Steven Weinstein', '235', '31.72'],
 ['James Gannon', '236', '31.78'],
 ['Justin Delp', '237', '31.81'],
 ['Caden Cho', '238', '31.94'],
 ['Aiden Bayle', '239', '31.97'],
 ['Brendan Hunt', '240', '32.02'],
 ['Noah Moeller', '241', '32.03'],
 ['Ramika Arangalla', '242', '32.08'],
 ['Maxx Vazirani', '243', '32.11'],
 ['Kevin Foley', '244', '32.12'],
 ['Jacob Wajnberg', '245', '32.15'],
 ['Grant Larsen', '246', '32.21'],
 ['Otso Heikkinen', '247', '32.27'],
 ['Andrew Clift', '247', '32.27'],
 ['Patrick O&#x27;Connor', '249', '32.29'],
 ['Cole Wilson', '250', '32.39'],
 ['Quinn Bennet', '251', '32.42'],
 ['Ryan Baldwin', '252', '32.44'],
 ['Kolby Martin', '253', '32.47'],
 ['Aidan Lee', '254', '32.49'],
 ['Thomas Lathrop', '255', '32.53'],
 ['Diego Lara', '256', '32.54'],
 ['Edward Maximus Devinney', '257', '32.57'],
 ['Connor Hong', '258', '32.68'],
 ['Christian Shenk', '258', '32.68'],
 ['Ethan Sommers', '260', '32.77'],
 ['Matthew Keiper', '261', '32.78'],
 ['Ben Oswiecinski', '261', '32.78'],
 ['Kurtis Wei', '263', '32.80'],
 ['Luuk Pretorius', '264', '32.81'],
 ['Eric Chen', '265', '32.89'],
 ['Mulenga Cole', '266', '32.95'],
 ['Spyros Argeros', '267', '32.99'],
 ['Chase Rabe', '268', '33.01'],
 ['Eli Kishish', '269', '33.02'],
 ['Andrew Zhao', '270', '33.03'],
 ['Elias Abraham', '271', '33.04'],
 ['Christian perez', '272', '33.07'],
 ['Roman Drews', '273', '33.11'],
 ['Hudson Rice', '274', '33.13'],
 ['Reid Hudson', '274', '33.13'],
 ['Jake Everitt', '276', '33.33'],
 ['Matthew Sudberry', '277', '33.34'],
 ['Jackson Kroh', '278', '33.35'],
 ['Parker Shoesmith', '279', '33.37'],
 ['Josh Stewart', '280', '33.44'],
 ['Camden Cook', '281', '33.46'],
 ['Alexandre Louvel', '282', '33.48'],
 ['Julian Lozano', '282', '33.48'],
 ['Caleb Asebrook', '284', '33.51'],
 ['Gabriel Ardeleanu', '285', '33.52'],
 ['Sammy DaJusta', '286', '33.55'],
 ['Evan VanVelzor', '286', '33.55'],
 ['Tyler Lewis', '288', '33.65'],
 ['Drew Hilsmier', '289', '33.78'],
 ['Riley Poirier', '290', '33.82'],
 ['Andrew Jin', '291', '33.84'],
 ['Crush Charles', '292', '33.87'],
 ['Nik Petzold', '293', '33.89'],
 ['Mason Duggins', '294', '33.91'],
 ['Luke Hottle', '295', '33.92'],
 ['Gabe Hardy', '296', '33.95'],
 ['Henry Cooper', '297', '34.00'],
 ['Brady Manser', '298', '34.01'],
 ['Wyatt Boland', '299', '34.11'],
 ['Garreth Thomas', '300', '34.13'],
 ['Lucca Pomsel', '301', '34.22'],
 ['Steeler Whowell', '302', '34.27'],
 ['Thor Johannessen', '303', '34.29'],
 ['Allan Zhu', '304', '34.30'],
 ['Roman Rodriguez', '305', '34.40'],
 ['Jack Dawson', '306', '34.42'],
 ['Finley McLane', '307', '34.51'],
 ['Jake Bergeron', '308', '34.56'],
 ['Ronan Cornpropst', '309', '34.57'],
 ['Carter Tebon', '309', '34.57'],
 ['Max Halpern', '311', '34.61'],
 ['Will Cutler', '311', '34.61'],
 ['Sarp Dilber', '313', '34.63'],
 ['Liam Chew', '314', '34.65'],
 ['Jeffrey Chang', '315', '34.66'],
 ['Charlie Harrington', '316', '34.68'],
 ['Lee Ryan', '317', '34.83'],
 ['Jay Wei', '318', '34.91'],
 ['Dan Bellach', '319', '35.00'],
 ['Peyton Egide', '320', '35.02'],
 ['Max Wu', '321', '35.05'],
 ['Cameron Waite', '322', '35.07'],
 ['Topher DelaCruz', '323', '35.10'],
 ['Kirk Morgan', '324', '35.18'],
 ['Aiden Boyle', '325', '35.21'],
 ['Pablo Ingrum', '326', '35.25'],
 ['Dylan Bezdek', '327', '35.36'],
 ['Christian Indelicato', '328', '35.40'],
 ['Miles Du Lac', '329', '35.41'],
 ['Ronan McCarthy', '330', '35.45'],
 ['Carter Schultz', '330', '35.45'],
 ['Misha Gostlin', '332', '35.46'],
 ['Alexander Ivascu', '333', '35.49'],
 ['Nathaniel Washburn', '334', '35.54'],
 ['Jaden Mills', '335', '35.56'],
 ['Bennett Aldrich', '336', '35.59'],
 ['Ian Miller', '336', '35.59'],
 ['Piotr Polkowski', '336', '35.59'],
 ['Nikita Ambotas', '339', '35.66'],
 ['Neil Alejandro', '340', '35.68'],
 ['Alan Piatek', '341', '35.69'],
 ['Jake Kotz-Agramonte', '342', '35.72'],
 ['Brayden Hale', '343', '35.77'],
 ['Will Hartig', '344', '35.81'],
 ['Hamilton Gates', '345', '35.82'],
 ['Owen Muller', '346', '35.83'],
 ['Joshua Erasmus', '347', '35.86'],
 ['Brian Raghunathan', '348', '35.95'],
 ['Charlie Keenes', '349', '35.97'],
 ['Caleb del Rosario', '350', '35.98'],
 ['Taevin Kim', '351', '36.04'],
 ['Finn McEnroe', '352', '36.06'],
 ['Jack Bracey', '353', '36.07'],
 ['Will Rose', '353', '36.07'],
 ['Ryan Shane', '355', '36.17'],
 ['Merrick Vanscoy', '356', '36.20'],
 ['Andrew Morton', '357', '36.23'],
 ['Ethan Peyton', '358', '36.25'],
 ['Enkhmend Enkhmend', '359', '36.32'],
 ['Luke Weibel', '360', '36.33'],
 ['Matthew Tripsa', '361', '36.36'],
 ['Tripp Cooler', '362', '36.39'],
 ['Owen Lippoldt', '363', '36.41'],
 ['Evan Summers', '364', '36.42'],
 ['Preston Broderick', '365', '36.49'],
 ['Charlie Bobick', '366', '36.50'],
 ['Elwin Bao', '367', '36.57'],
 ['Michael Choi', '367', '36.57'],
 ['Caden Mahl', '367', '36.57'],
 ['Nate Thiemeyer', '370', '36.62'],
 ['Parker Childs', '371', '36.68'],
 ['Michael Sabo', '372', '36.69'],
 ['Sebastian Tith', '372', '36.69'],
 ['Murilo Rodrigues', '374', '36.71'],
 ['Ethan Chen', '375', '36.74'],
 ['Tommy Lussier', '376', '36.78'],
 ['Roko Jercic', '376', '36.78'],
 ['Desmond Ortega', '378', '36.82'],
 ['Derek Liu', '379', '36.88'],
 ['Lucas Cha', '380', '36.90'],
 ['Mason Shirley', '381', '36.98'],
 ['Carter Stiles', '382', '37.02'],
 ['Soren Carlson', '383', '37.08'],
